Question,Category,Type,Option1,Option2,Option3,Option4,Owner
What is your perfect dream job?,Basic,Subjective,,,,,
"If you could go anywhere in the world, where would you go?",Basic,Subjective,,,,,
Did you attend college/university?,Basic,Objective,Yes,No,In college,,
"If you did attend college, what did you major in?",Basic,Subjective,,,,,
What do you consider your best qualities?,Basic,Subjective,,,,,
What is your favorite type of food?,Basic,Subjective,,,,,
What is your favorite movie genre?,Basic,Subjective,,,,,
"If you can have any super power, what would it be?",Basic,Subjective,,,,,
Would you rather be famous or wealthy?,Basic,Objective,Famous,Wealthy,,,
Do you have a pet?,Basic,Objective,Yes,No,Don't like animals,,
Are you an introvert or an extrovert?,Basic,Objective,Introvert,Extrovert,,,
"In past relationships, did you get along well with their parents and/or friends? If not, why?",Basic,Subjective,,,,,
"In your own words, what do you consider romantic?",Basic,Subjective,,,,,
What is your favorite scent on a women/men?,Basic,Subjective,,,,,
Do you believe in love at first sight?,Basic,Objective,Yes,No,,,
Would you rather be loved or respected?,Basic,Objective,Loved,Respected,,,
Have you ever been in love?,Basic,Objective,Yes,No,,,
What are your biggest turn offs?,Basic,Subjective,,,,,
Do you have any kids?,Basic,Objective,Yes,No,"Yes, but not mine",,
Will religion ever become obsolete?,deep,Subjective,,,,,
Are you a likely to vote for republican or demorcrat?,deep,Objective,Republican,Demorcrat,,,
Do you give back to your community?,Basic,Objective,Yes,No,,,
Are people ethically obligated to improve themselves?,deep,Subjective,,,,,
Do business owners have the right to refuse service to customers?,Basic,Objective,Yes,No,,,
What is the last book that you read?,Basic,Subjective,,,,,
Where do you get your news?,Basic,Subjective,,,,,
What is your favorite book?,Basic,Subjective,,,,,
Do you give second chances?,Basic,Subjective,,,,,
Would you rather be loved or love?,Basic,Objective,Loved,Love,,,
Would you rather be deaf or blind?,Basic,Objective,Deaf,Blind,,,
Are you Pro-Gun or Anti-Gun ?,Basic,Objective,Pro-Gun,Anti-Gun,,,
Do you like camping?,Basic,Objective,Yes,No,,,
What's your favorite season?,Basic,Objective,Summer,Winter,Fall,Spring,
Would you rather have nosy neighbors or noisy neighbors?,Basic,Objective,Nosy,Noisy,,,
Would you rather be crazy rich or deeply in love?,Basic,Objective,Crazy Rich,Deeply in Love,,,
"Wine, Whiskey or Beer?",Basic,Objective,Wine,Whiskey,Beer,,
Do you still dress up for Halloween?,Basic,Objective,Yes,No,,,
"For work, you are _______?",Basic,Subjective,,,,,
Have you ever been married?,Basic,Objective,Yes,No,,,
Your favorite language? ,Basic,Subjective,,,,,
Your favorite emoji is ______?,Basic,Subjective,,,,,
What is the worst thing about social media?,Basic,Subjective,,,,,
Do you have any social media account? If so which?,Basic,Subjective,,,,,
What is your go to song when you trying to get pumped up?,Basic,Subjective,,,,,
Would you date a single parent or someone that is divorce?,Basic,Subjective,,,,,
Does height play an important factor in a relationship?,Basic,Objective,Yes,No,,,
How many languages do you speak?,Basic,Subjective,,,,,
"If you could change your name, what would you change it to?",Basic,Subjective,,,,,
What three words would you describe yourself as?,Basic,Subjective,,,,,
How would you give away/split five million dollars?,Basic,Subjective,,,,,
"Do you smoke? if so, what?",Basic,Subjective,,,,,
"What is your favorite form of communication? Texting, talking on the phone or Video Calls?",Basic,Subjective,,,,,
What animal would be adorable if scaled down to the size of a cat?,Basic,Subjective,,,,,
What weird food combinations do you really enjoy?,Basic,Subjective,,,,,
What movie can you watch over and over without ever getting tired of?,Basic,Subjective,,,,,
What’s the most epic way you’ve seen someone quit?,Basic,Subjective,,,,,
How often would you want to go out on a date with your potential companion?,Basic,Subjective,,,,,
What other dating apps have you used in the past?,Basic,Subjective,,,,,
"If you could only watch one movie for the rest of your life, what would it be?",Basic,Subjective,,,,,
What’s your favorite flavor of ice cream?,Basic,Subjective,,,,,
What’s your go-to alcoholic drink?,Basic,Subjective,,,,,
"If you were forced to eat fast food for all your meals, what would be your top two places?",Basic,Subjective,,,,,
Would you rather go out or stay in on a Saturday night?,Basic,Subjective,,,,,
"What’s your favorite quote, line of poetry, or sentence?",Basic,Subjective,,,,,
What's on your bucket list this year?,Basic,Subjective,,,,,
What’s one thing you wish you knew how to do?,Basic,Subjective,,,,,
Is there an activity that calms you?,Basic,Subjective,,,,,
Are you health conscious?,Basic,Subjective,,,,,
"Would you rather be without internet for a week, or without your phone?",Basic,Objective,Internet,Phone,,,
What is an ideal hour to work a week?,Basic,Subjective,,,,,
What do you do when you get bored?,Basic,Subjective,,,,,
What's your favorite holiday?,Basic,Subjective,,,,,
What is your go to song that you could listen to everyday?,Basic,Subjective,,,,,
What would you desicribe yourself as in high school?,Basic,Subjective,,,,,
What city did you grow up in?,Basic,Subjective,,,,,
"If you could be an athlete for a day, what/who would you be?",Basic,Subjective,,,,,
What is your nickname?,Basic,Subjective,,,,,
"If you could interview anyone from your life living or dead, but not a celebrity, who would it be and why?",Basic,Subjective,,,,,
Do you have any siblings? ,Basic,Subjective,,,,,
What would you do for fun on a friday night?,Basic,Subjective,,,,,
What do you do for a living?,Basic,Subjective,,,,,
What's a pet peeve of yours?,Basic,Subjective,,,,,
What is your ethnic background?,Basic,Subjective,,,,,
Where is your mother's family originally from?,Basic,Subjective,,,,,
Where is your father's family originally from?,Basic,Subjective,,,,,
"If you were given a ticket to fly anywhere in the world, where would you go?",Basic,Subjective,,,,,
"If you could only win one major award, what would it be?",Basic,Subjective,,,,,
An unexpected skill/ talent you possess is?,Basic,Subjective,,,,,
What is your guilty pleasure when it comes to music?,Basic,Subjective,,,,,
What is your favorite family vacation?,Basic,Subjective,,,,,
"If you had to get a tattoo right now, what would it be?",Basic,Subjective,,,,,
What is one thing you can't live without?,Basic,Subjective,,,,,
Are you family-oriented?,Basic,Subjective,,,,,
"If you could pick a new name, it would be?",Basic,Subjective,,,,,
Do you see yourself having kids in the future?,Deep,Objective,Yes,No,,,
What is your greatest achievement/accomplishment?,Deep,Subjective,,,,,
What is the longest relationship you have been in?,Deep,Subjective,,,,,
"Does your family celebrate holidays? If so, how?",Deep,Subjective,,,,,
"If you could change a mistake from your past, what would it be?",Deep,Subjective,,,,,
Are you the type to hold grudges or forgive easily?,Deep,Objective,Hold Grudges,Forgive Easily,,,
"Do you believe in marriage? If so, what is your definition of the word “marriage”?",Deep,Subjective,,,,,
"A mutual friend flirts with you, would you tell your significant other?",Deep,Objective,Yes,No,,,
A cashier gives you too much money back. What do you do?,Deep,Subjective,,,,,
"If you only had 48 hours to live, what would you do with the 48 hours?",Deep,Subjective,,,,,
What do you wish others knew about your heart or the way you think?,Deep,Subjective,,,,,
Are you religious or spiritual? Does it play an important part in your life?,Deep,Subjective,,,,,
"After retirement, what are your goals?",Deep,Subjective,,,,,
"If you could change one thing about the world, what would it be?",Deep,Subjective,,,,,
What's more important in a relationship?,Deep,Objective,Trust,Respect,,,
What harsh truths do you prefer to ignore?,Deep,Subjective,,,,,
Is free will real or just an illusion?,Deep,Subjective,,,,,
"Is there a meaning to life? If so, what is it?",Deep,Subjective,,,,,
Do you believe in evolution?,Deep,Subjective,,,,,
Where is the line drawn between art and not art?,Deep,Subjective,,,,,
"Does fate exist? If so, do we have free will?",Deep,Subjective,,,,,
What does it mean to live a good life?,Deep,Subjective,,,,,
Do you believe dreams have meaning?,Deep,Subjective,,,,,
Is it possible to live a normal life and not ever tell a lie?,Deep,Subjective,,,,,
Does a person’s name influence the person they become?,Deep,Subjective,,,,,
What should be the goal of humanity?,Deep,Subjective,,,,,
What actions in your life will help build your legacy?,Deep,Subjective,,,,,
Where does your self-worth come from?,Deep,Subjective,,,,,
How would humanity change if all humans’ life expectancy was significantly increased (let’s say to around 500 years)?,Deep,Subjective,,,,,
What person/thing gives you the motivation to succeed in life?,Deep,Subjective,,,,,
What do you think would be humanity’s reaction to the discovery of extraterrestrial life?,Deep,Subjective,,,,,
What concept would have the biggest positive impact on humanity?,Deep,Subjective,,,,,
"If you could teach everyone in the world one concept, what would the concept be?",Deep,Subjective,,,,,
Is suffering a necessary part of the human survival?,Deep,Subjective,,,,,
"Does hardship make a person stronger? If so, under what conditions?",Deep,Subjective,,,,,
Would things get better or worse if humans focused on what was going well rather than what’s going wrong?,Deep,Subjective,,,,,
What do you attribute the biggest successes in your life to?,Deep,Subjective,,,,,
What do you attribute your largest failures in your life to?,Deep,Subjective,,,,,
"If freedom is simply being able to do what you want, are animals freer than humans?",Deep,Subjective,,,,,
Would you want to know how/when you're going to die before hand or die suddenly without warning?,Deep,Subjective,,,,,
How do you attain happiness?,Deep,Subjective,,,,,
Is intelligence or wisdom more useful?,Deep,Subjective,,,,,
